Complexidade do método da tabela-verdade,"NP: não deterministicamente polinomial. algoritmo exaustivo tem complexidade O(2ⁿ(2m+1)), verificar valoração individual tem custo O(2m+1), onde n = número de variáveis, m = número de operadores"
Tableaux analíticos: otimização,Operações alfa (lineares) têm prioridade sobre operações beta (que bifurcam a árvore)
Método da resolução: requisito para eficiência,Forma normal conjuntiva com cláusulas de horn (disjunção de literais)
Regra da resolução,"para demonstrar Γ⊨Φ, provar que Γ U {¬Φ} é insatisfatível: expressão na forma normal conjuntiva, gerar novos termos seguindo o formato (b ∨ y) ∧ (a ∨ ¬b) ≡ (b ∨ y) ∧ (a ∨ ¬b) ∧ (y ∨ a) até chegar em uma contradição do tipo (b ∨ ¬b) ≡ ⊥"
Cláusula: definição,"Disjunção de literais. (x ∨ y), (a ∨ ¬b)..."
Literal: definição,"Forma atômica ou sua negação. x, ¬x, a,..."
Forma normal conjuntiva: definição,Conjunção de cláusulas: (x ∨ y) ∧ (a ∨ ¬b)...
Cláusulas de horn: definição,Disjunção de literais contendo não mais que 1 literal positivo
Complexidade do método da resolução com FNC onde todas as cláusulas são de Horn,O(n)
Complexidade do método da resolução com entrada genérica,O(2ⁿ)
Dedutibilidade,Γ⊢Φ se é possível construir uma árvore: 1. cuja raiz é Φ 2. cada nó interno é uma aplicação de regras de dedução legítimas 3. as folhas são hipóteses descartadas ou premissas ∈ Γ
Relação entre dedutibilidade e consequência lógica,Γ⊢Φ sse Γ⊨Φ
sequente: definição,"Formalização do conceito de dedutibilidade considerando o conjunto de premissas como uma sequência de fórmulas e a dedução como também uma sequência de fórmulas: Γ ⊢ Δ passa a ser representado por (ɣ1, ɣ2, ɣ3, ... ɣn) ⊢(δ1, δ2, ...δn) , equivalente logicamente a: (ɣ1 ∧ ɣ2 ∧ ɣ3 ∧... ɣn) →(δ1 ∨ δ2 ∨...δn)"
"lógica minimal, intuicionista, clássica",Lógica minimal: utiliza apenas as regras de eliminação e introdução dos operadores na dedução; Intuicionística: minimal + EFQ; Clássica: Intuicionística + RAA
redundâncias no metodo de DN,redundância do tipo η (eta): Eliminação seguida imediatamente de Introdução; tipo β (beta): Introdução seguida imediatamente de eliminação (com o mesmo operador para ambos os tipos)
Teorema da normalização,"Seja ϕ uma proposição. Se ⊢ ϕ, então existe uma árvore de prova normal para ϕ. Segundo o teorema da normalização forte, o processo de normalização de uma árvore de prova termina após uma sequência finita de operações; e a forma normal obtida é única"
